count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
77187,2018,7,"East of England",129,Peterborough,A1260,Major,A15,"Phorpres Way roundabout",518300,295140,52.54127500,-0.25707620,0.50,0.31,Estimated,"Estimated from nearby links",1,151,28990,123,2914,246,78,73,18,46,92,553,32730
80963,2018,7,"East of England",129,Peterborough,A605,Major,"A1139 spur","A605 spur",520197,296430,52.55245100,-0.22865234,0.20,0.12,Estimated,"Estimated from nearby links",34,90,8999,72,1780,201,49,69,34,94,113,560,11501
58363,2018,7,"East of England",129,Peterborough,A15,Major,"A15 Werrington Parkway","LA Boundary",513500,309400,52.67043400,-0.32293149,6.00,3.73,Estimated,"Estimated using previous year's AADF on this link",0,165,12803,17,1927,315,56,205,66,308,225,1175,16088
77186,2018,7,"East of England",129,Peterborough,A15,Major,A1260,"Phorpres Way roundabout",518530,295250,52.54221300,-0.25364729,0.70,0.43,Estimated,"Estimated from nearby links",161,31,4617,56,653,59,5,6,0,1,1,72,5429
80975,2018,7,"East of England",129,Peterborough,A1139,Major,A1260,"A1139 spur",518638,295866,52.54772500,-0.25183566,1.50,0.93,Counted,"Manual count",0,319,57649,60,10198,1102,393,430,154,504,3410,5993,74220
89111,2018,7,"East of England",129,Peterborough,A1,Major,A47,A1,507398,299836,52.58573200,-0.41623878,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",0,39,5716,32,1635,211,49,295,46,120,144,865,8286
36222,2018,7,"East of England",129,Peterborough,A15,Major,A1179,"Westfield Road roundabout",518770,299000,52.57585700,-0.24876873,1.30,0.81,Estimated,"Estimated using previous year's AADF on this link",228,188,24671,223,2261,213,19,13,9,6,0,260,27603
17970,2018,7,"East of England",129,Peterborough,A1129,Major,A15,A605,519000,296980,52.55765600,-0.24610071,1.30,0.81,Counted,"Manual count",176,55,5754,146,621,33,0,1,1,1,0,36,6612
81046,2018,7,"East of England",129,Peterborough,A47,Major,A47,"LOVE'S HILL",513590,298360,52.57121100,-0.32539171,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",0,12,1813,24,233,21,2,0,3,0,0,26,2107
75354,2018,7,"East of England",129,Peterborough,A1139,Major,"A1139 spur","A1139 spur",519970,296100,52.54953600,-0.23211780,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",0,312,37745,17,7911,939,234,269,151,616,2270,4479,50462
