Area,mnemonic,Employees,Employment
lsoa2011:Bedford 005A,E01017453,350,350
lsoa2011:Bedford 005B,E01017454,75,100
lsoa2011:Bedford 005C,E01017455,150,150
lsoa2011:Bedford 005D,E01017456,450,500
lsoa2011:Bedford 005E,E01017457,250,300
lsoa2011:Bedford 005F,E01017458,35,35
lsoa2011:Bedford 006A,E01017529,125,125
lsoa2011:Bedford 006B,E01017530,100,125
lsoa2011:Bedford 006C,E01017531,30,30
lsoa2011:Bedford 006D,E01017532,300,300
lsoa2011:Bedford 006E,E01017533,500,500
lsoa2011:Bedford 006F,E01017534,50,75
lsoa2011:Bedford 007A,E01017488,250,250
lsoa2011:Bedford 007B,E01017489,75,75
lsoa2011:Bedford 007C,E01017490,1750,1750
lsoa2011:Bedford 007D,E01017491,75,75
lsoa2011:Bedford 007E,E01017492,100,100
lsoa2011:Bedford 007F,E01017493,1750,1750
lsoa2011:Bedford 008A,E01017459,75,75
lsoa2011:Bedford 008B,E01017460,400,400
lsoa2011:Bedford 008C,E01017461,600,600
lsoa2011:Bedford 008D,E01017462,300,300
lsoa2011:Bedford 008E,E01017463,250,250
lsoa2011:Bedford 009A,E01017482,800,800
lsoa2011:Bedford 009B,E01017483,350,350
lsoa2011:Bedford 009C,E01017484,1500,1750
lsoa2011:Bedford 009D,E01017485,125,125
lsoa2011:Bedford 010A,E01017497,100,100
lsoa2011:Bedford 010B,E01017498,1500,1500
lsoa2011:Bedford 010C,E01017499,3000,3000
lsoa2011:Bedford 010D,E01017500,200,200
lsoa2011:Bedford 010E,E01017501,800,800
lsoa2011:Bedford 010F,E01017502,1500,1500
lsoa2011:Bedford 011A,E01017524,600,600
lsoa2011:Bedford 011B,E01017525,800,800
lsoa2011:Bedford 011C,E01017526,75,75
lsoa2011:Bedford 011D,E01017527,1250,1250
lsoa2011:Bedford 012A,E01017466,3000,3000
lsoa2011:Bedford 012B,E01017467,300,350
lsoa2011:Bedford 012C,E01017468,200,225
lsoa2011:Bedford 012D,E01017469,4500,5000
lsoa2011:Bedford 012E,E01017470,125,150
lsoa2011:Bedford 012F,E01017471,2000,2000
lsoa2011:Bedford 013A,E01017535,450,450
lsoa2011:Bedford 013B,E01017536,75,75
lsoa2011:Bedford 013C,E01017537,50,50
lsoa2011:Bedford 013D,E01017538,400,400
lsoa2011:Bedford 013E,E01017539,150,150
lsoa2011:Bedford 014A,E01017518,400,400
lsoa2011:Bedford 014B,E01017519,500,500
lsoa2011:Bedford 014C,E01017520,5000,5000
lsoa2011:Bedford 014D,E01017521,350,350
lsoa2011:Bedford 014E,E01017522,1750,1750
lsoa2011:Bedford 014F,E01017523,100,125
lsoa2011:Bedford 015A,E01017472,350,350
lsoa2011:Bedford 015B,E01017473,6000,6000
lsoa2011:Bedford 015C,E01017474,350,350
lsoa2011:Bedford 015D,E01017475,800,800
lsoa2011:Bedford 015E,E01017476,700,700
lsoa2011:Bedford 015F,E01017477,15,20
lsoa2011:Bedford 016A,E01017509,300,300
lsoa2011:Bedford 016B,E01017510,450,500
lsoa2011:Bedford 016C,E01017511,50,50
lsoa2011:Bedford 016D,E01017512,500,500
lsoa2011:Bedford 017A,E01017505,600,600
lsoa2011:Bedford 017B,E01017506,350,350
lsoa2011:Bedford 017C,E01017507,150,150
lsoa2011:Bedford 017D,E01017508,225,250
lsoa2011:Bedford 018A,E01017513,75,75
lsoa2011:Bedford 018B,E01017514,1250,1250
lsoa2011:Bedford 018C,E01017515,250,250
lsoa2011:Bedford 018D,E01017516,4500,4500
lsoa2011:Bedford 018E,E01017517,1250,1250
lsoa2011:Bedford 019A,E01017486,900,900
lsoa2011:Bedford 019B,E01017487,75,75
lsoa2011:Bedford 019C,E01017548,1250,1250
lsoa2011:Bedford 019D,E01017549,100,100
lsoa2011:Bedford 019E,E01017550,900,900
lsoa2011:Bedford 020A,E01017551,300,300
lsoa2011:Bedford 020B,E01017552,1250,1250
lsoa2011:Bedford 020C,E01017553,175,175
lsoa2011:Bedford 020D,E01017554,250,250
lsoa2011:Central Bedfordshire 001A,E01017433,35,35
lsoa2011:Central Bedfordshire 001B,E01017434,40,45
lsoa2011:Central Bedfordshire 001C,E01017436,700,700
lsoa2011:Central Bedfordshire 002A,E01017430,450,450
lsoa2011:Central Bedfordshire 002B,E01017431,1250,1250
lsoa2011:Central Bedfordshire 002C,E01017432,225,225
lsoa2011:Central Bedfordshire 002D,E01017435,1250,1500
lsoa2011:Central Bedfordshire 003A,E01017425,250,300
lsoa2011:Central Bedfordshire 003B,E01017426,175,200
lsoa2011:Central Bedfordshire 003C,E01017427,500,500
lsoa2011:Central Bedfordshire 003D,E01017428,100,125
lsoa2011:Central Bedfordshire 003E,E01017429,300,300
lsoa2011:Central Bedfordshire 004A,E01017412,600,600
lsoa2011:Central Bedfordshire 004B,E01017422,600,600
lsoa2011:Central Bedfordshire 004C,E01017423,1750,2000
lsoa2011:Central Bedfordshire 004D,E01017424,700,700
lsoa2011:Central Bedfordshire 005A,E01017383,175,200
lsoa2011:Central Bedfordshire 005B,E01017384,350,350
lsoa2011:Central Bedfordshire 005C,E01017385,2250,2500
lsoa2011:Central Bedfordshire 005D,E01017386,400,400
lsoa2011:Central Bedfordshire 005E,E01017387,75,75
lsoa2011:Central Bedfordshire 005F,E01017388,75,100
lsoa2011:Central Bedfordshire 006A,E01017381,700,700
lsoa2011:Central Bedfordshire 006B,E01017382,400,400
lsoa2011:Central Bedfordshire 006C,E01017389,2000,2000
lsoa2011:Central Bedfordshire 006D,E01017390,500,500
lsoa2011:Central Bedfordshire 007A,E01017379,700,700
lsoa2011:Central Bedfordshire 007B,E01017380,500,600
lsoa2011:Central Bedfordshire 007C,E01017394,75,100
lsoa2011:Central Bedfordshire 007F,E01017397,400,450
lsoa2011:Central Bedfordshire 007G,E01033194,8000,8000
lsoa2011:Central Bedfordshire 008A,E01017410,350,400
lsoa2011:Central Bedfordshire 008B,E01017411,900,900
lsoa2011:Central Bedfordshire 008C,E01017419,600,600
lsoa2011:Central Bedfordshire 008D,E01017420,225,250
lsoa2011:Central Bedfordshire 008E,E01017421,225,250
lsoa2011:Central Bedfordshire 009A,E01017416,400,450
lsoa2011:Central Bedfordshire 009B,E01017417,350,350
lsoa2011:Central Bedfordshire 009C,E01017418,250,300
lsoa2011:Central Bedfordshire 009D,E01017451,500,600
lsoa2011:Central Bedfordshire 009E,E01017452,450,450
lsoa2011:Central Bedfordshire 010A,E01017376,500,600
lsoa2011:Central Bedfordshire 010B,E01017377,400,450
lsoa2011:Central Bedfordshire 010C,E01017378,175,175
lsoa2011:Central Bedfordshire 010D,E01017413,350,350
lsoa2011:Central Bedfordshire 010E,E01017414,200,225
lsoa2011:Central Bedfordshire 010F,E01017415,450,450
lsoa2011:Central Bedfordshire 011A,E01017437,500,500
lsoa2011:Central Bedfordshire 011B,E01017438,225,250
lsoa2011:Central Bedfordshire 011C,E01017439,400,400
lsoa2011:Central Bedfordshire 011D,E01017440,600,600
lsoa2011:Central Bedfordshire 011E,E01017441,1250,1250
lsoa2011:Central Bedfordshire 011F,E01017444,600,600
lsoa2011:Central Bedfordshire 012A,E01017371,450,500
lsoa2011:Central Bedfordshire 012B,E01017372,100,100
lsoa2011:Central Bedfordshire 012C,E01017373,4000,4000
lsoa2011:Central Bedfordshire 012D,E01017374,600,600
lsoa2011:Central Bedfordshire 012E,E01017375,1000,1000
lsoa2011:Central Bedfordshire 013A,E01017391,75,100
lsoa2011:Central Bedfordshire 013B,E01017392,600,700
lsoa2011:Central Bedfordshire 013C,E01017393,450,500
lsoa2011:Central Bedfordshire 013D,E01017442,300,350
lsoa2011:Central Bedfordshire 013E,E01017443,700,700
lsoa2011:Central Bedfordshire 014A,E01017446,150,175
lsoa2011:Central Bedfordshire 014B,E01017447,400,400
lsoa2011:Central Bedfordshire 014D,E01017449,400,400
lsoa2011:Central Bedfordshire 014E,E01033188,100,125
lsoa2011:Central Bedfordshire 014F,E01033189,200,200
lsoa2011:Central Bedfordshire 014G,E01033190,150,175
lsoa2011:Central Bedfordshire 015A,E01017399,75,100
lsoa2011:Central Bedfordshire 015B,E01017400,800,800
lsoa2011:Central Bedfordshire 015C,E01017401,450,500
lsoa2011:Central Bedfordshire 015D,E01017402,450,450
lsoa2011:Central Bedfordshire 016A,E01017403,200,200
lsoa2011:Central Bedfordshire 016B,E01017404,75,75
lsoa2011:Central Bedfordshire 016C,E01017405,450,500
lsoa2011:Central Bedfordshire 016D,E01017406,600,600
lsoa2011:Central Bedfordshire 016E,E01017407,500,500
lsoa2011:Central Bedfordshire 017A,E01017398,600,600
lsoa2011:Central Bedfordshire 017B,E01017408,100,125
lsoa2011:Central Bedfordshire 017C,E01017409,300,300
lsoa2011:Central Bedfordshire 017D,E01017445,1250,1250
lsoa2011:Central Bedfordshire 017E,E01017450,450,450
lsoa2011:Central Bedfordshire 018A,E01017558,250,300
lsoa2011:Central Bedfordshire 018B,E01017559,1000,1000
lsoa2011:Central Bedfordshire 018C,E01017560,100,125
lsoa2011:Central Bedfordshire 018D,E01017616,400,450
lsoa2011:Central Bedfordshire 019A,E01017577,4500,4500
lsoa2011:Central Bedfordshire 019B,E01017615,900,900
lsoa2011:Central Bedfordshire 019C,E01017620,1000,1250
lsoa2011:Central Bedfordshire 019D,E01017621,175,175
lsoa2011:Central Bedfordshire 019E,E01017622,500,500
lsoa2011:Central Bedfordshire 020A,E01017603,250,250
lsoa2011:Central Bedfordshire 020B,E01017604,125,125
lsoa2011:Central Bedfordshire 020C,E01017605,30,30
lsoa2011:Central Bedfordshire 020D,E01017606,350,400
lsoa2011:Central Bedfordshire 020E,E01017607,300,300
lsoa2011:Central Bedfordshire 021A,E01017555,3000,3500
lsoa2011:Central Bedfordshire 021B,E01017556,125,125
lsoa2011:Central Bedfordshire 021C,E01017557,1250,1500
lsoa2011:Central Bedfordshire 021D,E01017608,75,100
lsoa2011:Central Bedfordshire 021E,E01017609,100,100
lsoa2011:Central Bedfordshire 022A,E01017589,250,300
lsoa2011:Central Bedfordshire 022B,E01017590,250,250
lsoa2011:Central Bedfordshire 022C,E01017591,450,450
lsoa2011:Central Bedfordshire 022D,E01017610,125,125
lsoa2011:Central Bedfordshire 023A,E01017611,125,125
lsoa2011:Central Bedfordshire 023B,E01017612,75,75
lsoa2011:Central Bedfordshire 023C,E01017613,100,100
lsoa2011:Central Bedfordshire 023D,E01017614,50,75
lsoa2011:Central Bedfordshire 024A,E01017573,250,300
lsoa2011:Central Bedfordshire 024C,E01017575,4000,4000
lsoa2011:Central Bedfordshire 024D,E01017576,150,150
lsoa2011:Central Bedfordshire 024E,E01033191,35,40
lsoa2011:Central Bedfordshire 024F,E01033192,45,50
lsoa2011:Central Bedfordshire 024G,E01033193,2000,2250
lsoa2011:Central Bedfordshire 025A,E01017600,125,125
lsoa2011:Central Bedfordshire 025B,E01017601,450,450
lsoa2011:Central Bedfordshire 025C,E01017602,100,100
lsoa2011:Central Bedfordshire 025D,E01017618,125,125
lsoa2011:Central Bedfordshire 025E,E01017619,100,125
lsoa2011:Central Bedfordshire 026A,E01017578,1750,1750
lsoa2011:Central Bedfordshire 026B,E01017579,125,125
lsoa2011:Central Bedfordshire 026C,E01017580,75,75
lsoa2011:Central Bedfordshire 026D,E01017581,6000,7000
lsoa2011:Central Bedfordshire 026E,E01017617,75,75
lsoa2011:Central Bedfordshire 027A,E01017582,150,175
lsoa2011:Central Bedfordshire 027B,E01017583,800,800
lsoa2011:Central Bedfordshire 027C,E01017584,7000,7000
lsoa2011:Central Bedfordshire 027D,E01017585,50,50
lsoa2011:Central Bedfordshire 028A,E01017566,175,225
lsoa2011:Central Bedfordshire 028B,E01017595,250,300
lsoa2011:Central Bedfordshire 028C,E01017596,175,200
lsoa2011:Central Bedfordshire 028D,E01017597,50,75
lsoa2011:Central Bedfordshire 028E,E01017598,100,100
lsoa2011:Central Bedfordshire 028F,E01017599,1000,1000
lsoa2011:Central Bedfordshire 029A,E01017565,500,600
lsoa2011:Central Bedfordshire 029B,E01017567,350,350
lsoa2011:Central Bedfordshire 029C,E01017568,1750,1750
lsoa2011:Central Bedfordshire 029D,E01017569,600,600
lsoa2011:Central Bedfordshire 029E,E01017570,1750,1750
lsoa2011:Central Bedfordshire 030A,E01017592,350,400
lsoa2011:Central Bedfordshire 030B,E01017593,200,200
lsoa2011:Central Bedfordshire 030C,E01017594,100,100
lsoa2011:Central Bedfordshire 031A,E01017623,500,500
lsoa2011:Central Bedfordshire 031B,E01017624,700,700
lsoa2011:Central Bedfordshire 031C,E01017625,175,175
lsoa2011:Central Bedfordshire 031D,E01017626,250,250
lsoa2011:Central Bedfordshire 032A,E01017571,125,125
lsoa2011:Central Bedfordshire 032B,E01017572,300,300
lsoa2011:Central Bedfordshire 032C,E01017586,350,350
lsoa2011:Central Bedfordshire 032D,E01017587,500,600
lsoa2011:Central Bedfordshire 032E,E01017588,175,200
lsoa2011:Central Bedfordshire 033A,E01017561,600,600
lsoa2011:Central Bedfordshire 033B,E01017562,200,200
lsoa2011:Central Bedfordshire 033C,E01017563,250,250
lsoa2011:Central Bedfordshire 033D,E01017564,1750,1750
lsoa2011:East Northamptonshire 001A,E01027033,500,500
lsoa2011:East Northamptonshire 001B,E01027043,1000,1000
lsoa2011:East Northamptonshire 001C,E01027050,700,700
lsoa2011:East Northamptonshire 002A,E01027031,700,800
lsoa2011:East Northamptonshire 002B,E01027044,450,500
lsoa2011:East Northamptonshire 002C,E01027046,100,100
lsoa2011:East Northamptonshire 002D,E01027047,50,75
lsoa2011:East Northamptonshire 002E,E01027048,1500,1500
lsoa2011:East Northamptonshire 002F,E01027049,1500,1500
lsoa2011:East Northamptonshire 003A,E01027032,1250,1250
lsoa2011:East Northamptonshire 003B,E01027045,250,300
lsoa2011:East Northamptonshire 003C,E01027075,175,175
lsoa2011:East Northamptonshire 003D,E01027076,1000,1000
lsoa2011:East Northamptonshire 003E,E01027077,2250,2500
lsoa2011:East Northamptonshire 004A,E01027057,600,600
lsoa2011:East Northamptonshire 004B,E01027074,400,400
lsoa2011:East Northamptonshire 004C,E01027078,600,600
lsoa2011:East Northamptonshire 005A,E01027051,300,300
lsoa2011:East Northamptonshire 005B,E01027052,75,75
lsoa2011:East Northamptonshire 005C,E01027053,400,400
lsoa2011:East Northamptonshire 005D,E01027054,1250,1250
lsoa2011:East Northamptonshire 005E,E01027055,300,350
lsoa2011:East Northamptonshire 005F,E01027056,200,200
lsoa2011:East Northamptonshire 006A,E01027038,450,500
lsoa2011:East Northamptonshire 006B,E01027039,1000,1000
lsoa2011:East Northamptonshire 006C,E01027040,75,100
lsoa2011:East Northamptonshire 006D,E01027041,350,350
lsoa2011:East Northamptonshire 006E,E01027042,75,75
lsoa2011:East Northamptonshire 007A,E01027034,900,900
lsoa2011:East Northamptonshire 007B,E01027035,350,350
lsoa2011:East Northamptonshire 007D,E01027037,350,350
lsoa2011:East Northamptonshire 007E,E01033244,100,125
lsoa2011:East Northamptonshire 007F,E01033245,400,450
lsoa2011:East Northamptonshire 008A,E01027061,400,400
lsoa2011:East Northamptonshire 008B,E01027062,1250,1250
lsoa2011:East Northamptonshire 008C,E01027063,4500,4500
lsoa2011:East Northamptonshire 008D,E01027064,800,800
lsoa2011:East Northamptonshire 008E,E01027072,50,50
lsoa2011:East Northamptonshire 008F,E01027073,500,500
lsoa2011:East Northamptonshire 009A,E01027058,175,225
lsoa2011:East Northamptonshire 009B,E01027059,350,350
lsoa2011:East Northamptonshire 009C,E01027060,800,800
lsoa2011:East Northamptonshire 009D,E01027065,1000,1000
lsoa2011:East Northamptonshire 009E,E01027069,450,500
lsoa2011:East Northamptonshire 010A,E01027066,250,250
lsoa2011:East Northamptonshire 010B,E01027067,250,250
lsoa2011:East Northamptonshire 010C,E01027068,175,175
lsoa2011:East Northamptonshire 010D,E01027070,175,175
lsoa2011:East Northamptonshire 010E,E01027071,35,35
lsoa2011:Forest Heath 001A,E01029926,15,25
lsoa2011:Forest Heath 001B,E01029927,1000,1000
lsoa2011:Forest Heath 001C,E01029928,2250,2250
lsoa2011:Forest Heath 001D,E01029929,700,700
lsoa2011:Forest Heath 001E,E01029930,600,700
lsoa2011:Forest Heath 002C,E01029942,125,125
lsoa2011:Forest Heath 002E,E01029944,40,50
lsoa2011:Forest Heath 002F,E01033453,900,1000
lsoa2011:Forest Heath 003E,E01029945,500,600
lsoa2011:Forest Heath 003F,E01032523,200,225
lsoa2011:Forest Heath 003G,E01032524,150,150
lsoa2011:Forest Heath 003H,E01032525,225,250
lsoa2011:Forest Heath 003I,E01032526,200,225
lsoa2011:Forest Heath 004A,E01029938,100,100
lsoa2011:Forest Heath 004B,E01029939,600,700
lsoa2011:Forest Heath 004C,E01029940,1500,1500
lsoa2011:Forest Heath 004D,E01029946,350,350
lsoa2011:Forest Heath 004E,E01029947,1000,1000
lsoa2011:Forest Heath 005A,E01029941,500,500
lsoa2011:Forest Heath 005C,E01029957,1250,1250
lsoa2011:Forest Heath 005D,E01033451,100,100
lsoa2011:Forest Heath 005E,E01033452,450,450
lsoa2011:Forest Heath 005F,E01033454,200,225
lsoa2011:Forest Heath 006A,E01029937,500,500
lsoa2011:Forest Heath 006B,E01029953,3500,3500
lsoa2011:Forest Heath 006C,E01029954,3000,3500
lsoa2011:Forest Heath 006D,E01029955,200,200
lsoa2011:Forest Heath 006E,E01029956,50,75
lsoa2011:Forest Heath 008A,E01029925,1500,1750
lsoa2011:Forest Heath 008B,E01029949,300,300
lsoa2011:Forest Heath 008C,E01029950,500,500
lsoa2011:Forest Heath 008D,E01029951,450,450
lsoa2011:Forest Heath 008E,E01029952,500,500
lsoa2011:Forest Heath 008F,E01032612,500,500
lsoa2011:King's Lynn and West Norfolk 001A,E01026680,150,150
lsoa2011:King's Lynn and West Norfolk 001B,E01026681,600,600
lsoa2011:King's Lynn and West Norfolk 001C,E01026682,350,400
lsoa2011:King's Lynn and West Norfolk 001D,E01026683,1000,1250
lsoa2011:King's Lynn and West Norfolk 002A,E01026645,500,500
lsoa2011:King's Lynn and West Norfolk 002B,E01026646,500,600
lsoa2011:King's Lynn and West Norfolk 002C,E01026656,1500,1500
lsoa2011:King's Lynn and West Norfolk 002D,E01026695,350,400
lsoa2011:King's Lynn and West Norfolk 003A,E01026676,450,450
lsoa2011:King's Lynn and West Norfolk 003B,E01026677,225,225
lsoa2011:King's Lynn and West Norfolk 003C,E01026678,350,350
lsoa2011:King's Lynn and West Norfolk 003D,E01026701,75,100
lsoa2011:King's Lynn and West Norfolk 003E,E01026702,250,250
lsoa2011:King's Lynn and West Norfolk 003F,E01026703,300,300
lsoa2011:King's Lynn and West Norfolk 004A,E01026653,175,200
lsoa2011:King's Lynn and West Norfolk 004B,E01026654,250,250
lsoa2011:King's Lynn and West Norfolk 004C,E01026655,225,225
lsoa2011:King's Lynn and West Norfolk 004D,E01026718,800,800
lsoa2011:King's Lynn and West Norfolk 005A,E01026691,125,150
lsoa2011:King's Lynn and West Norfolk 005B,E01026692,75,100
lsoa2011:King's Lynn and West Norfolk 005C,E01026708,150,150
lsoa2011:King's Lynn and West Norfolk 005D,E01026709,175,200
lsoa2011:King's Lynn and West Norfolk 005E,E01026710,500,500
lsoa2011:King's Lynn and West Norfolk 006A,E01026669,250,300
lsoa2011:King's Lynn and West Norfolk 006B,E01026670,45,45
lsoa2011:King's Lynn and West Norfolk 006C,E01026671,150,150
lsoa2011:King's Lynn and West Norfolk 006D,E01026672,150,175
lsoa2011:King's Lynn and West Norfolk 006E,E01026673,30,40
lsoa2011:King's Lynn and West Norfolk 007A,E01026687,200,225
lsoa2011:King's Lynn and West Norfolk 007B,E01026688,1750,1750
lsoa2011:King's Lynn and West Norfolk 007C,E01026689,75,100
lsoa2011:King's Lynn and West Norfolk 007D,E01026690,2000,2000
lsoa2011:King's Lynn and West Norfolk 008A,E01026647,150,150
lsoa2011:King's Lynn and West Norfolk 008B,E01026711,75,125
lsoa2011:King's Lynn and West Norfolk 008C,E01026712,400,450
lsoa2011:King's Lynn and West Norfolk 008D,E01026713,400,400
lsoa2011:King's Lynn and West Norfolk 009A,E01026666,200,200
lsoa2011:King's Lynn and West Norfolk 009B,E01026667,600,700
lsoa2011:King's Lynn and West Norfolk 009C,E01026668,1000,1000
lsoa2011:King's Lynn and West Norfolk 009D,E01026693,450,500
lsoa2011:King's Lynn and West Norfolk 010A,E01026662,50,75
lsoa2011:King's Lynn and West Norfolk 010B,E01026663,75,100
lsoa2011:King's Lynn and West Norfolk 010C,E01026664,250,250
lsoa2011:King's Lynn and West Norfolk 010D,E01026714,4000,4000
lsoa2011:King's Lynn and West Norfolk 011A,E01026698,4500,4500
lsoa2011:King's Lynn and West Norfolk 011B,E01026699,3500,3500
lsoa2011:King's Lynn and West Norfolk 011C,E01026700,400,400
lsoa2011:King's Lynn and West Norfolk 011D,E01026704,4500,4500
lsoa2011:King's Lynn and West Norfolk 011E,E01026705,500,600
lsoa2011:King's Lynn and West Norfolk 011F,E01026706,2500,3000
lsoa2011:King's Lynn and West Norfolk 012A,E01026665,600,700
lsoa2011:King's Lynn and West Norfolk 012B,E01026674,200,225
lsoa2011:King's Lynn and West Norfolk 012C,E01026675,125,175
lsoa2011:King's Lynn and West Norfolk 012D,E01026694,1250,1250
lsoa2011:King's Lynn and West Norfolk 013A,E01026684,300,300
lsoa2011:King's Lynn and West Norfolk 013B,E01026685,250,250
lsoa2011:King's Lynn and West Norfolk 013C,E01026719,200,225
lsoa2011:King's Lynn and West Norfolk 013D,E01026720,700,700
lsoa2011:King's Lynn and West Norfolk 013E,E01026721,350,400
lsoa2011:King's Lynn and West Norfolk 014A,E01026642,150,150
lsoa2011:King's Lynn and West Norfolk 014B,E01026643,300,350
lsoa2011:King's Lynn and West Norfolk 014C,E01026644,700,700
lsoa2011:King's Lynn and West Norfolk 014D,E01026723,500,500
lsoa2011:King's Lynn and West Norfolk 014E,E01026724,900,900
lsoa2011:King's Lynn and West Norfolk 014F,E01026725,300,300
lsoa2011:King's Lynn and West Norfolk 015A,E01026696,200,200
lsoa2011:King's Lynn and West Norfolk 015B,E01026697,200,225
lsoa2011:King's Lynn and West Norfolk 015C,E01026722,125,150
lsoa2011:King's Lynn and West Norfolk 015D,E01026726,300,350
lsoa2011:King's Lynn and West Norfolk 016A,E01026659,250,300
lsoa2011:King's Lynn and West Norfolk 016B,E01026660,450,450
lsoa2011:King's Lynn and West Norfolk 016C,E01026661,250,300
lsoa2011:King's Lynn and West Norfolk 016D,E01026715,175,200
lsoa2011:King's Lynn and West Norfolk 016E,E01026716,350,400
lsoa2011:King's Lynn and West Norfolk 016F,E01026717,250,300
lsoa2011:King's Lynn and West Norfolk 017C,E01026686,200,200
lsoa2011:King's Lynn and West Norfolk 017D,E01026707,900,900
lsoa2011:King's Lynn and West Norfolk 017E,E01033036,450,450
lsoa2011:King's Lynn and West Norfolk 017F,E01033037,15,15
lsoa2011:King's Lynn and West Norfolk 017G,E01033038,1000,1000
lsoa2011:King's Lynn and West Norfolk 017H,E01033039,500,500
lsoa2011:King's Lynn and West Norfolk 018A,E01026679,300,350
lsoa2011:King's Lynn and West Norfolk 018B,E01026727,1250,1250
lsoa2011:King's Lynn and West Norfolk 018C,E01026728,300,350
lsoa2011:King's Lynn and West Norfolk 019A,E01026648,225,250
lsoa2011:King's Lynn and West Norfolk 019B,E01026649,200,200
lsoa2011:King's Lynn and West Norfolk 019C,E01026650,450,500
lsoa2011:King's Lynn and West Norfolk 019D,E01026651,900,1000
lsoa2011:King's Lynn and West Norfolk 019E,E01026652,125,150
lsoa2011:North Hertfordshire 001A,E01023660,1250,1500
lsoa2011:North Hertfordshire 001B,E01023661,125,150
lsoa2011:North Hertfordshire 001C,E01023662,100,100
lsoa2011:North Hertfordshire 002A,E01023654,50,50
lsoa2011:North Hertfordshire 002B,E01023655,1250,1250
lsoa2011:North Hertfordshire 002C,E01023656,4000,4000
lsoa2011:North Hertfordshire 002D,E01023657,350,350
lsoa2011:North Hertfordshire 002E,E01023658,200,200
lsoa2011:North Hertfordshire 002F,E01023659,250,300
lsoa2011:North Hertfordshire 003A,E01023635,150,150
lsoa2011:North Hertfordshire 003B,E01023636,175,200
lsoa2011:North Hertfordshire 003C,E01023637,150,150
lsoa2011:North Hertfordshire 003D,E01023638,75,75
lsoa2011:North Hertfordshire 004A,E01023587,25,30
lsoa2011:North Hertfordshire 004B,E01023588,125,125
lsoa2011:North Hertfordshire 004C,E01023589,1000,1000
lsoa2011:North Hertfordshire 004D,E01023590,200,200
lsoa2011:North Hertfordshire 004E,E01023591,350,350
lsoa2011:North Hertfordshire 004F,E01023592,900,1000
lsoa2011:North Hertfordshire 004G,E01023593,225,225
lsoa2011:North Hertfordshire 005A,E01023585,800,900
lsoa2011:North Hertfordshire 005B,E01023586,400,400
lsoa2011:North Hertfordshire 005C,E01023597,400,450
lsoa2011:North Hertfordshire 005D,E01023598,600,600
lsoa2011:North Hertfordshire 005F,E01023600,500,600
lsoa2011:North Hertfordshire 005G,E01023663,800,900
lsoa2011:North Hertfordshire 005H,E01033024,125,125
lsoa2011:North Hertfordshire 005I,E01033025,125,125
lsoa2011:North Hertfordshire 005J,E01033026,300,300
lsoa2011:North Hertfordshire 005K,E01033027,175,175
lsoa2011:North Hertfordshire 006A,E01023630,2250,2250
lsoa2011:North Hertfordshire 006B,E01023631,900,1000
lsoa2011:North Hertfordshire 006C,E01023632,1250,1250
lsoa2011:North Hertfordshire 006D,E01023633,4500,4500
lsoa2011:North Hertfordshire 006E,E01023634,700,700
lsoa2011:North Hertfordshire 007A,E01023649,700,800
lsoa2011:North Hertfordshire 007B,E01023650,150,150
lsoa2011:North Hertfordshire 007C,E01023651,125,125
lsoa2011:North Hertfordshire 007D,E01023652,100,100
lsoa2011:North Hertfordshire 008A,E01023644,2000,2000
lsoa2011:North Hertfordshire 008B,E01023645,1000,1000
lsoa2011:North Hertfordshire 008C,E01023646,75,75
lsoa2011:North Hertfordshire 008D,E01023647,150,150
lsoa2011:North Hertfordshire 008E,E01023648,800,900
lsoa2011:North Hertfordshire 009A,E01023639,250,250
lsoa2011:North Hertfordshire 009B,E01023640,200,200
lsoa2011:North Hertfordshire 009C,E01023641,150,175
lsoa2011:North Hertfordshire 009D,E01023642,125,150
lsoa2011:North Hertfordshire 009E,E01023643,200,200
lsoa2011:North Hertfordshire 010A,E01023601,1000,1000
lsoa2011:North Hertfordshire 010B,E01023602,500,500
lsoa2011:North Hertfordshire 010C,E01023603,500,500
lsoa2011:North Hertfordshire 010D,E01023604,400,400
lsoa2011:North Hertfordshire 010E,E01023605,4500,4500
lsoa2011:North Hertfordshire 011A,E01023617,150,150
lsoa2011:North Hertfordshire 011B,E01023618,200,200
lsoa2011:North Hertfordshire 011C,E01023619,350,350
lsoa2011:North Hertfordshire 011D,E01023620,75,75
lsoa2011:North Hertfordshire 011E,E01023621,50,50
lsoa2011:North Hertfordshire 012A,E01023611,45,50
lsoa2011:North Hertfordshire 012B,E01023612,225,250
lsoa2011:North Hertfordshire 012C,E01023613,100,100
lsoa2011:North Hertfordshire 012D,E01023614,150,150
lsoa2011:North Hertfordshire 012E,E01023615,700,800
lsoa2011:North Hertfordshire 012F,E01023616,6000,6000
lsoa2011:North Hertfordshire 013A,E01023606,300,300
lsoa2011:North Hertfordshire 013B,E01023607,100,100
lsoa2011:North Hertfordshire 013C,E01023608,125,175
lsoa2011:North Hertfordshire 013D,E01023609,450,450
lsoa2011:North Hertfordshire 013E,E01023610,800,800
lsoa2011:North Hertfordshire 014A,E01023594,350,400
lsoa2011:North Hertfordshire 014B,E01023622,600,600
lsoa2011:North Hertfordshire 014C,E01023623,450,500
lsoa2011:North Hertfordshire 014D,E01023624,250,250
